lacO3	minus35_30C_33T	minus10_7A	O2_leftSym	0.496862022010638	0.51766344597832
O2_rightSym	minus35_31A_32C	minus10_7A	lacOsym	0.879256669084031	0.836293160317257
lacO1	minus35cons	minus10_7A	lacO2	9.76673433437021	7.99453430044564
lacOsym	minus35_33T	minus10_12G	lacO2	0.674554711090076	1.3074512657355
lacO2	minus35_31A_32C	minus10cons	O1_rightSym	41.5325627441526	32.335352529061
O3_rightSym	minus35_33T	minus10_12A	lacOsym	0.600664092064624	0.501684784900647
lacOscram	minus35cons	minus10cons	O1_rightSym	19.2366421106686	23.6737908862687
lacO1	minus35_33T	minus10_12A	O2_rightSym	1.37155205538089	0.799308880613765
O1_rightSym	minus35_33T	minus10_7A	O3_rightSym	0.512309871537995	0.389374873376751
O1_rightSym	minus35_31A_32C	minus10_7A	O2_leftSym	1.28734982715059	0.863706106224166
O1_rightSym	minus35_30C_33T	minus10_12A	O2_rightSym	1.03192189912501	0.697579022465523
O3_leftSym	minus35_33T	minus10_12G	O2_rightSym	1.37524128518197	1.51100916582454
O3_rightSym	minus35_31A_32C	minus10_12G	O2_rightSym	0.564159970767474	1.14966202270382
lacOsym	minus35_31A_32C	minus10_12G	lacO1	0.804321113977536	0.915164844807727
lacOsym	minus35_31A_32C	minus10_12A	O2_rightSym	1.0310714156751	0.937738932285276
O3_leftSym	minus35_31A_32C	minus10cons	O1_rightSym	17.2358983307559	12.8318299176977
O1_rightSym	minus35_30C_33T	minus10_12G	lacO3	0.808925002296011	0.625234429569418
O3_rightSym	minus35_33T	minus10_7A	O3_rightSym	1.86144243525218	0.605202227087642
O1_rightSym	minus35_31A_32C	minus10_12G	lacOscram	2.35541114054311	1.28767402342387
lacO1	minus35_30C_33T	minus10_12A	O3_rightSym	0.843215368824776	0.915330921460768
O1_rightSym	minus35cons	minus10_12A	lacO3	2.839083810755	1.89179332186381
O3_leftSym	minus35_30C_33T	minus10_12G	O2_rightSym	0.582995227218247	0.554143480601364
lacOsym	minus35_30C_33T	minus10cons	lacO1	1.25770851738534	2.28542846420865
lacO2	minus35_31A_32C	minus10_7A	lacOsym	0.839543267980393	0.926182586482513
O1_rightSym	minus35_30C_33T	minus10_7A	O2_rightSym	1.35654376600228	0.736075905716831
lacO3	minus35cons	minus10cons	O2_rightSym	23.4117186218243	16.965003542328
O3_leftSym	minus35cons	minus10_12G	O3_rightSym	2.47430659579429	2.64740282077743
O3_rightSym	minus35_31A_32C	minus10_12A	O3_rightSym	1.79985305622151	1.55790652966934
O3_leftSym	minus35_31A_32C	minus10_12A	lacO3	1.41829044594927	1.09396897156839
O1_rightSym	minus35cons	minus10_7A	O2_leftSym	6.32750600873342	6.43571829029361
