name	Library	Distal	Min_35	Min_10	Prox.Core	Condition	Expression	Sym
COMBO-lacOsym-minus35_33T-minus10cons-lacO2	COMBO	lacOsym	minus35_33T	minus10cons	lacO2	UnInduced	2.55609545701357	No
COMBO-lacOscram-minus35_30C_33T-minus10cons-lacOscram	COMBO	lacOscram	minus35_30C_33T	minus10cons	lacOscram	UnInduced	0.983786402576019	No
COMBO-lacOscram-minus35cons-minus10_7A-lacO2	COMBO	lacOscram	minus35cons	minus10_7A	lacO2	UnInduced	2.23348161776983	No
COMBO-lacOscram-minus35_33T-minus10cons-lacOsym	COMBO	lacOscram	minus35_33T	minus10cons	lacOsym	UnInduced	1.07795930372379	Yes
COMBO-lacO2-minus35cons-minus10_12A-lacO2	COMBO	lacO2	minus35cons	minus10_12A	lacO2	UnInduced	2.46815356963732	No
COMBO-lacO2-minus35_30C_33T-minus10cons-lacOscram	COMBO	lacO2	minus35_30C_33T	minus10cons	lacOscram	UnInduced	2.32327722962522	No
DISTAL-lacOsym-29-minus35_33T-lacO2_core-minus10cons	DISTAL	lacOsym	minus35_33T	minus10cons	lacO2	UnInduced	8.73496690816631	No
DISTAL-lacO2-29-minus35cons-lacO1_core-minus10_12G	DISTAL	lacO2	minus35cons	minus10_12G	lacO1	UnInduced	5.58101100431778	No
DISTAL-lacO2-29-minus35_33T-lacOscram_core-minus10cons	DISTAL	lacO2	minus35_33T	minus10cons	lacOscram	UnInduced	19.5693227186679	No
DISTAL-lacO2-29-minus35cons-lacO2_core-minus10_7A	DISTAL	lacO2	minus35cons	minus10_7A	lacO2	UnInduced	11.2085784852157	No
DISTAL-lacOscram-29-minus35cons-lacO2_core-minus10cons	DISTAL	lacOscram	minus35cons	minus10cons	lacO2	UnInduced	19.5394141579315	No
DISTAL-lacO2-29-minus35_30C_33T-lacOsym_core-minus10cons	DISTAL	lacO2	minus35_30C_33T	minus10cons	lacOsym	UnInduced	0.575535369659806	Yes
DISTAL-lacO1-29-minus35cons-lacO3_core-minus10_12G	DISTAL	lacO1	minus35cons	minus10_12G	lacO3	UnInduced	1.13377773037966	No
DISTAL-lacOsym-29-minus35cons-lacO1_core-minus10_12A	DISTAL	lacOsym	minus35cons	minus10_12A	lacO1	UnInduced	0.801510624952504	No
DISTAL-lacOsym-29-minus35cons-lacO2_core-minus10cons	DISTAL	lacOsym	minus35cons	minus10cons	lacO2	UnInduced	35.3432217455793	No
DISTAL-lacO2-29-minus35_30C_33T-lacO2_core-minus10cons	DISTAL	lacO2	minus35_30C_33T	minus10cons	lacO2	UnInduced	1.16099008326946	No
DISTAL-lacO3-29-minus35cons-lacO1_core-minus10_7A	DISTAL	lacO3	minus35cons	minus10_7A	lacO1	UnInduced	2.27028973438339	No
DISTAL-lacO1-29-minus35cons-lacOsym_core-minus10_12A	DISTAL	lacO1	minus35cons	minus10_12A	lacOsym	UnInduced	1.09006010797839	Yes
DISTAL-lacO1-29-minus35_30C_33T-lacO1_core-minus10cons	DISTAL	lacO1	minus35_30C_33T	minus10cons	lacO1	UnInduced	1.89654603470138	No
DISTAL-lacO1-29-minus35cons-lacO2_core-minus10_12G	DISTAL	lacO1	minus35cons	minus10_12G	lacO2	UnInduced	14.4494543609059	No
DISTAL-lacO2-29-minus35_31A_32C-lacOscram_core-minus10cons	DISTAL	lacO2	minus35_31A_32C	minus10cons	lacOscram	UnInduced	29.1514705412101	No
DISTAL-lacO1-29-minus35cons-lacOscram_core-minus10_7A	DISTAL	lacO1	minus35cons	minus10_7A	lacOscram	UnInduced	16.1243580055918	No
DISTAL-lacOscram-29-minus35cons-lacOscram_core-minus10cons	DISTAL	lacOscram	minus35cons	minus10cons	lacOscram	UnInduced	32.5582146765811	No
DISTAL-lacO2-29-minus35_33T-lacOsym_core-minus10cons	DISTAL	lacO2	minus35_33T	minus10cons	lacOsym	UnInduced	1.66430185849981	Yes
DISTAL-lacO3-29-minus35cons-lacOscram_core-minus10_12A	DISTAL	lacO3	minus35cons	minus10_12A	lacOscram	UnInduced	12.9231990297169	No
DISTAL-lacOsym-29-minus35cons-lacO3_core-minus10_12G	DISTAL	lacOsym	minus35cons	minus10_12G	lacO3	UnInduced	0.993984577175852	No
DISTAL-lacO2-29-minus35cons-lacO3_core-minus10_7A	DISTAL	lacO2	minus35cons	minus10_7A	lacO3	UnInduced	4.28360247425143	No
DISTAL-lacOsym-29-minus35cons-lacO1_core-minus10cons	DISTAL	lacOsym	minus35cons	minus10cons	lacO1	UnInduced	6.77888631557226	No
DISTAL-lacO3-29-minus35cons-lacOsym_core-minus10_7A	DISTAL	lacO3	minus35cons	minus10_7A	lacOsym	UnInduced	0.755166133604271	Yes
DISTAL-lacO1-29-minus35_33T-lacO3_core-minus10cons	DISTAL	lacO1	minus35_33T	minus10cons	lacO3	UnInduced	1.4695700013065	No
