Library	Prox.Core	Distal	Min_10	Min_35	ratio
DISTAL	lacOsym	lacOsym	minus10_7A	minus35cons	1.60913632835509
DISTAL	lacO2	lacO3	minus10cons	minus35_30C_33T	0.971177576702907
DISTAL	lacO2	lacO2	minus10cons	minus35cons	0.945211332756249
DISTAL	lacO2	lacOscram	minus10cons	minus35_30C_33T	0.776406974506869
DISTAL	lacOscram	lacO2	minus10_12G	minus35cons	0.871248677064359
DISTAL	lacOscram	lacO3	minus10cons	minus35_30C_33T	0.917071545646958
DISTAL	lacO1	lacO3	minus10cons	minus35_30C_33T	1.27301523182357
DISTAL	lacO2	lacOscram	minus10cons	minus35_33T	0.779566008337203
DISTAL	lacO2	lacO1	minus10cons	minus35_33T	1.26317541937483
DISTAL	lacO3	lacO1	minus10cons	minus35cons	1.83595567393297
DISTAL	lacOscram	lacO2	minus10cons	minus35_30C_33T	1.01571302694959
DISTAL	lacO2	lacO1	minus10_12A	minus35cons	0.634015225831872
DISTAL	lacOscram	lacO2	minus10cons	minus35cons	0.623352333767111
DISTAL	lacOsym	lacOsym	minus10cons	minus35cons	12.9402893588264
DISTAL	lacOsym	lacO1	minus10cons	minus35_33T	3.91583497768598
DISTAL	lacO1	lacO2	minus10cons	minus35_31A_32C	3.15971016081406
DISTAL	lacOscram	lacOsym	minus10cons	minus35_31A_32C	0.837767100495966
DISTAL	lacOsym	lacO3	minus10cons	minus35_30C_33T	0.848945141175152
DISTAL	lacOsym	lacO2	minus10cons	minus35_31A_32C	6.09631712922421
DISTAL	lacO3	lacOsym	minus10cons	minus35cons	0.654457700291916
DISTAL	lacOscram	lacOscram	minus10cons	minus35_30C_33T	0.913398089173278
DISTAL	lacOscram	lacO1	minus10cons	minus35_33T	1.00729773834379
DISTAL	lacOscram	lacO2	minus10_7A	minus35cons	0.642928516135393
DISTAL	lacO3	lacOscram	minus10_7A	minus35cons	0.846243087455452
DISTAL	lacOsym	lacOsym	minus10cons	minus35_30C_33T	1.02192845675715
DISTAL	lacO1	lacOsym	minus10cons	minus35_30C_33T	1.51374366931136
DISTAL	lacO1	lacOsym	minus10cons	minus35_33T	3.12037394949235
DISTAL	lacOscram	lacO3	minus10_7A	minus35cons	0.902744136980198
DISTAL	lacO3	lacOscram	minus10cons	minus35_30C_33T	0.716673975334914
DISTAL	lacOscram	lacOsym	minus10_12A	minus35cons	1.07480347354435
DISTAL	lacO2	lacOscram	minus10_12A	minus35cons	0.837916977069028
DISTAL	lacOsym	lacO2	minus10_12G	minus35cons	4.15040626445163
DISTAL	lacOsym	lacO3	minus10cons	minus35_33T	3.77211334404312
DISTAL	lacO3	lacOscram	minus10_12A	minus35cons	0.564089455393239
DISTAL	lacOsym	lacOscram	minus10cons	minus35_30C_33T	0.704364688535419
DISTAL	lacO1	lacOscram	minus10cons	minus35_30C_33T	2.21569613580313
DISTAL	lacO3	lacOscram	minus10_12G	minus35cons	0.782845676415632
DISTAL	lacOsym	lacO1	minus10cons	minus35_30C_33T	0.954960480949731
DISTAL	lacO1	lacO2	minus10_12A	minus35cons	1.1979424475536
DISTAL	lacO1	lacO1	minus10cons	minus35cons	7.86488292110394
DISTAL	lacO2	lacO3	minus10cons	minus35cons	0.740849473073345
DISTAL	lacO3	lacO1	minus10cons	minus35_31A_32C	1.99063729955898
DISTAL	lacOscram	lacOscram	minus10_7A	minus35cons	0.927401697577837
DISTAL	lacOscram	lacO2	minus10_12A	minus35cons	0.976117287006297
DISTAL	lacO2	lacO3	minus10cons	minus35_33T	0.777844411397009
DISTAL	lacO3	lacO3	minus10cons	minus35_31A_32C	0.671108873469061
DISTAL	lacO2	lacO3	minus10_12G	minus35cons	0.826101590153689
DISTAL	lacOscram	lacO1	minus10cons	minus35cons	0.55230853338872
DISTAL	lacO1	lacO1	minus10_12G	minus35cons	4.14733273707944
DISTAL	lacO3	lacO3	minus10_12A	minus35cons	1.12755672202125
DISTAL	lacOsym	lacO2	minus10_7A	minus35cons	0.719122925431671
DISTAL	lacO1	lacOsym	minus10_12G	minus35cons	5.31989540381462
DISTAL	lacOscram	lacOscram	minus10cons	minus35_33T	0.666954707503943
DISTAL	lacO3	lacOscram	minus10cons	minus35cons	0.829716141310311
DISTAL	lacO1	lacO2	minus10cons	minus35cons	2.20607073852221
DISTAL	lacOsym	lacO3	minus10_12G	minus35cons	4.48650095788839
DISTAL	lacOsym	lacOscram	minus10cons	minus35_31A_32C	3.76499454938059
DISTAL	lacO2	lacO1	minus10_7A	minus35cons	1.30015924045485
DISTAL	lacOsym	lacO1	minus10cons	minus35_31A_32C	7.6831305237883
DISTAL	lacO2	lacOscram	minus10cons	minus35_31A_32C	0.70302293889691
DISTAL	lacO2	lacO3	minus10_12A	minus35cons	1.25269251462461
DISTAL	lacO3	lacOsym	minus10cons	minus35_31A_32C	0.991578805533346
DISTAL	lacO1	lacO3	minus10cons	minus35cons	2.72251443392755
DISTAL	lacO2	lacO2	minus10_12A	minus35cons	0.697522619848246
DISTAL	lacO1	lacOsym	minus10cons	minus35_31A_32C	11.7447302159275
DISTAL	lacO1	lacO2	minus10cons	minus35_30C_33T	0.764052457186921
DISTAL	lacO1	lacO3	minus10_12A	minus35cons	1.21744808527709
DISTAL	lacOsym	lacO1	minus10_12G	minus35cons	6.02498858904493
DISTAL	lacO3	lacO2	minus10cons	minus35_33T	0.797397988742318
DISTAL	lacO1	lacOsym	minus10_7A	minus35cons	2.22083988196972
DISTAL	lacOsym	lacOscram	minus10_12G	minus35cons	5.10336849153969
DISTAL	lacOscram	lacO1	minus10_12G	minus35cons	0.997637535964437
DISTAL	lacOsym	lacOsym	minus10cons	minus35_31A_32C	5.56524898752066
DISTAL	lacO1	lacO3	minus10_12G	minus35cons	2.46647117176025
DISTAL	lacOsym	lacOscram	minus10cons	minus35cons	4.09435452944336
DISTAL	lacO2	lacOsym	minus10_7A	minus35cons	0.665611359416151
DISTAL	lacO1	lacO3	minus10cons	minus35_33T	2.54635996721914
DISTAL	lacO1	lacOscram	minus10cons	minus35_31A_32C	2.22505986844257
DISTAL	lacO3	lacO2	minus10_12G	minus35cons	1.02305908293111
DISTAL	lacO2	lacOsym	minus10_12G	minus35cons	0.92477246234105
DISTAL	lacO3	lacO3	minus10_7A	minus35cons	0.576990806494251
DISTAL	lacO3	lacO1	minus10_7A	minus35cons	1.33867330003095
DISTAL	lacO3	lacOsym	minus10cons	minus35_30C_33T	0.650056469001391
DISTAL	lacO3	lacO3	minus10_12G	minus35cons	0.763903660402808
DISTAL	lacO1	lacOscram	minus10cons	minus35cons	1.90261203908973
DISTAL	lacO3	lacO2	minus10_12A	minus35cons	0.603426115321003
DISTAL	lacO1	lacO2	minus10cons	minus35_33T	1.97735509736554
DISTAL	lacO1	lacOscram	minus10_12G	minus35cons	1.83650600595555
DISTAL	lacOsym	lacO3	minus10cons	minus35cons	4.76720422980198
DISTAL	lacO1	lacO1	minus10_7A	minus35cons	3.19708340787051
DISTAL	lacOscram	lacO3	minus10cons	minus35_31A_32C	0.956709991080046
DISTAL	lacO1	lacO2	minus10_7A	minus35cons	1.71716810173682
DISTAL	lacOscram	lacOscram	minus10cons	minus35_31A_32C	0.791695312069523
DISTAL	lacO2	lacO3	minus10cons	minus35_31A_32C	0.814911356450354
DISTAL	lacO3	lacO2	minus10cons	minus35cons	0.841001250214471
DISTAL	lacO2	lacO1	minus10cons	minus35_31A_32C	0.765668533429919
DISTAL	lacO3	lacO3	minus10cons	minus35_30C_33T	0.706509858218596
DISTAL	lacOscram	lacO1	minus10_12A	minus35cons	0.819774281600239
DISTAL	lacO2	lacO3	minus10_7A	minus35cons	1.08434699446065
DISTAL	lacO3	lacO1	minus10_12A	minus35cons	1.21151754221613
DISTAL	lacO1	lacO1	minus10cons	minus35_33T	3.86780111233309
DISTAL	lacOsym	lacOsym	minus10_12A	minus35cons	1.40121975485817
DISTAL	lacO3	lacOscram	minus10cons	minus35_33T	0.920186874456433
DISTAL	lacOscram	lacOscram	minus10_12G	minus35cons	0.869337799441303
DISTAL	lacO3	lacOsym	minus10_12A	minus35cons	1.26529397893096
DISTAL	lacOscram	lacO3	minus10_12G	minus35cons	0.583201147105019
DISTAL	lacOsym	lacO2	minus10cons	minus35cons	5.48649050306601
DISTAL	lacO1	lacOscram	minus10_12A	minus35cons	1.45190757598669
DISTAL	lacO1	lacO1	minus10_12A	minus35cons	1.85297464361261
DISTAL	lacO2	lacOscram	minus10_7A	minus35cons	1.04216949303209
DISTAL	lacOsym	lacOsym	minus10_12G	minus35cons	3.0085262170602
DISTAL	lacO2	lacOscram	minus10_12G	minus35cons	0.838898470259851
DISTAL	lacOscram	lacO1	minus10cons	minus35_30C_33T	0.704334875406974
DISTAL	lacO3	lacO3	minus10cons	minus35cons	1.03576164265199
DISTAL	lacO2	lacO1	minus10cons	minus35cons	0.812053734131173
DISTAL	lacO1	lacOscram	minus10cons	minus35_33T	1.82915290921176
DISTAL	lacOscram	lacO3	minus10cons	minus35_33T	0.622451828933277
DISTAL	lacOsym	lacOscram	minus10_12A	minus35cons	1.08568881445841
