"{0.8803474160811495, 1.17503427420271}","{0.8845701446491347, 1.0766511269302}"
"{0.920983743334091, 0.606510756028837}","{1.0767088890498464, 0.720220651698463}"
"{2.9820830900031905, 10.9944470835627}","{3.6385459371669384, 10.2650544012273}"
"{0.9449483423313999, 1.23821623402396}","{0.9568443336908727, 0.889820277015325}"
"{4.269666473798017, 1.74095420084564}","{4.271116855393867, 2.18505331957344}"
"{0.8828651314315307, 1.78415232702791}","{0.8835045303511483, 1.08842144762063}"
"{0.9028308293461726, 0.789860915931628}","{0.9071044668939664, 0.750874174355896}"
"{11.145429649754993, 10.5136280428884}","{20.850409722270236, 6.77819641859641}"
"{0.8801328377455441, 1.11168175567061}","{0.8835066557138869, 0.931279598792336}"
"{0.8837189251621675, 1.31969675480538}","{0.8837193982805777, 0.828821243228539}"
"{3.335596365294065, 5.29837052012181}","{3.6552744253525664, 4.03655858938003}"
"{4.098164377873928, 4.67741220577938}","{4.615422847501601, 3.11799570468301}"
"{1.8107506982406842, 2.03444245538169}","{1.9459932071751986, 2.93068575893084}"
"{1.1625208639289235, 0.956454888922796}","{1.1626420322042768, 0.691183841957836}"
"{0.9243185059293781, 0.978706749763431}","{0.9773486423722324, 0.835444000616358}"
"{0.8819257176513154, 0.365245145564848}","{0.897431900193298, 0.546591008975398}"
"{1.162572302593661, 2.4005518283878}","{1.1626653763117345, 1.31214892566012}"
"{0.8974073405158072, 1.40560086169543}","{0.953397943324147, 1.44165650780436}"
"{0.8837192113534461, 1.06516917754302}","{0.8837194074142113, 0.601669309400696}"
"{4.63170943838389, 6.49383258213191}","{4.632942273173641, 4.07436941897688}"
"{18.702874644233944, 48.6281716578976}","{21.793720368866204, 50.5273671835016}"
"{19.110262733297894, 10.5547206162784}","{22.039889653738715, 9.53608832359288}"
"{2.2218820596033733, 1.70746677709182}","{5.981608430614933, 15.6233886317454}"
"{0.8794964434790208, 0.718599831726255}","{0.8820667549187858, 0.483879010383846}"
