"Library" "Prox.Core" "Distal" "Min_10" "Min_35" "ratio"
"238" "DISTAL" "lacOsym" "lacO2" "minus10_7A" "minus35cons" 0.719122925431671
"239" "DISTAL" "lacO1" "lacOsym" "minus10_12G" "minus35cons" 5.31989540381462
"240" "DISTAL" "lacOscram" "lacOscram" "minus10cons" "minus35_33T" 0.666954707503943
"241" "DISTAL" "lacO3" "lacOscram" "minus10cons" "minus35cons" 0.829716141310311
"242" "DISTAL" "lacO1" "lacO2" "minus10cons" "minus35cons" 2.20607073852221
"243" "DISTAL" "lacOsym" "lacO3" "minus10_12G" "minus35cons" 4.48650095788839
"244" "DISTAL" "lacOsym" "lacOscram" "minus10cons" "minus35_31A_32C" 3.76499454938059
"245" "DISTAL" "lacO2" "lacO1" "minus10_7A" "minus35cons" 1.30015924045485
"246" "DISTAL" "lacOsym" "lacO1" "minus10cons" "minus35_31A_32C" 7.6831305237883
"247" "DISTAL" "lacO2" "lacOscram" "minus10cons" "minus35_31A_32C" 0.70302293889691
"248" "DISTAL" "lacO2" "lacO3" "minus10_12A" "minus35cons" 1.25269251462461
"249" "DISTAL" "lacO3" "lacOsym" "minus10cons" "minus35_31A_32C" 0.991578805533346
"250" "DISTAL" "lacO1" "lacO3" "minus10cons" "minus35cons" 2.72251443392755
"251" "DISTAL" "lacO2" "lacO2" "minus10_12A" "minus35cons" 0.697522619848246
"252" "DISTAL" "lacO1" "lacOsym" "minus10cons" "minus35_31A_32C" 11.7447302159275
"253" "DISTAL" "lacO1" "lacO2" "minus10cons" "minus35_30C_33T" 0.764052457186921
"254" "DISTAL" "lacO1" "lacO3" "minus10_12A" "minus35cons" 1.21744808527709
"255" "DISTAL" "lacOsym" "lacO1" "minus10_12G" "minus35cons" 6.02498858904493
"256" "DISTAL" "lacO3" "lacO2" "minus10cons" "minus35_33T" 0.797397988742318
"257" "DISTAL" "lacO1" "lacOsym" "minus10_7A" "minus35cons" 2.22083988196972
"258" "DISTAL" "lacOsym" "lacOscram" "minus10_12G" "minus35cons" 5.10336849153969
"259" "DISTAL" "lacOscram" "lacO1" "minus10_12G" "minus35cons" 0.997637535964437
"260" "DISTAL" "lacOsym" "lacOsym" "minus10cons" "minus35_31A_32C" 5.56524898752066
"261" "DISTAL" "lacO1" "lacO3" "minus10_12G" "minus35cons" 2.46647117176025
"262" "DISTAL" "lacOsym" "lacOscram" "minus10cons" "minus35cons" 4.09435452944336
"263" "DISTAL" "lacO2" "lacOsym" "minus10_7A" "minus35cons" 0.665611359416151
"264" "DISTAL" "lacO1" "lacO3" "minus10cons" "minus35_33T" 2.54635996721914
"265" "DISTAL" "lacO1" "lacOscram" "minus10cons" "minus35_31A_32C" 2.22505986844257
"266" "DISTAL" "lacO3" "lacO2" "minus10_12G" "minus35cons" 1.02305908293111
"267" "DISTAL" "lacO2" "lacOsym" "minus10_12G" "minus35cons" 0.92477246234105
"268" "DISTAL" "lacO3" "lacO3" "minus10_7A" "minus35cons" 0.576990806494251
"269" "DISTAL" "lacO3" "lacO1" "minus10_7A" "minus35cons" 1.33867330003095
"270" "DISTAL" "lacO3" "lacOsym" "minus10cons" "minus35_30C_33T" 0.650056469001391
"271" "DISTAL" "lacO3" "lacO3" "minus10_12G" "minus35cons" 0.763903660402808
"272" "DISTAL" "lacO1" "lacOscram" "minus10cons" "minus35cons" 1.90261203908973
"273" "DISTAL" "lacO3" "lacO2" "minus10_12A" "minus35cons" 0.603426115321003
"274" "DISTAL" "lacO1" "lacO2" "minus10cons" "minus35_33T" 1.97735509736554
"275" "DISTAL" "lacO1" "lacOscram" "minus10_12G" "minus35cons" 1.83650600595555
"276" "DISTAL" "lacOsym" "lacO3" "minus10cons" "minus35cons" 4.76720422980198
"277" "DISTAL" "lacO1" "lacO1" "minus10_7A" "minus35cons" 3.19708340787051
"278" "DISTAL" "lacOscram" "lacO3" "minus10cons" "minus35_31A_32C" 0.956709991080046
"279" "DISTAL" "lacO1" "lacO2" "minus10_7A" "minus35cons" 1.71716810173682
"280" "DISTAL" "lacOscram" "lacOscram" "minus10cons" "minus35_31A_32C" 0.791695312069523
"281" "DISTAL" "lacO2" "lacO3" "minus10cons" "minus35_31A_32C" 0.814911356450354
"282" "DISTAL" "lacO3" "lacO2" "minus10cons" "minus35cons" 0.841001250214471
"283" "DISTAL" "lacO2" "lacO1" "minus10cons" "minus35_31A_32C" 0.765668533429919
"284" "DISTAL" "lacO3" "lacO3" "minus10cons" "minus35_30C_33T" 0.706509858218596
"285" "DISTAL" "lacOscram" "lacO1" "minus10_12A" "minus35cons" 0.819774281600239
"286" "DISTAL" "lacO2" "lacO3" "minus10_7A" "minus35cons" 1.08434699446065
"287" "DISTAL" "lacO3" "lacO1" "minus10_12A" "minus35cons" 1.21151754221613
"288" "DISTAL" "lacO1" "lacO1" "minus10cons" "minus35_33T" 3.86780111233309
"289" "DISTAL" "lacOsym" "lacOsym" "minus10_12A" "minus35cons" 1.40121975485817
"290" "DISTAL" "lacO3" "lacOscram" "minus10cons" "minus35_33T" 0.920186874456433
"291" "DISTAL" "lacOscram" "lacOscram" "minus10_12G" "minus35cons" 0.869337799441303
"292" "DISTAL" "lacO3" "lacOsym" "minus10_12A" "minus35cons" 1.26529397893096
"293" "DISTAL" "lacOscram" "lacO3" "minus10_12G" "minus35cons" 0.583201147105019
"294" "DISTAL" "lacOsym" "lacO2" "minus10cons" "minus35cons" 5.48649050306601
"295" "DISTAL" "lacO1" "lacOscram" "minus10_12A" "minus35cons" 1.45190757598669
